,Station,Layer,Size fraction (µm),sample,lineage,reads_mapped,rpkm
4289,7,Surface,0.8-5,metagenome,Pelagophytes,13.0,0.000143012066856
4290,9,Surface,0.8-5,metagenome,Pelagophytes,3.0,9.0706738169892e-05
4291,10,Surface,0.8-5,metagenome,Pelagophytes,5.0,9.25568518268468e-05
4292,16,Surface,0.8-5,metagenome,Pelagophytes,6.0,0.000183903194643
4293,18,Surface,0.8-5,metagenome,Pelagophytes,20.0,0.000626845033173
4294,19,Surface,0.8-5,metagenome,Pelagophytes,14.0,0.00037284644276
4295,20,Surface,0.8-5,metagenome,Pelagophytes,2.0,4.93126581987707e-05
4296,21,Surface,0.8-5,metagenome,Pelagophytes,9.0,0.000233585807192
4297,22,Surface,0.8-5,metagenome,Pelagophytes,76.0,0.001623370256635
4298,23,Surface,0.8-5,metagenome,Pelagophytes,35.0,0.000524653208853
4299,25,Surface,0.8-5,metagenome,Pelagophytes,6.0,0.000154982628666
4300,30,Surface,0.8-5,metagenome,Pelagophytes,2.0,5.64669100446165e-05
4941,6,Surface,0.8-5,metagenome,Prochlorococcus,297.0,0.004110542310816
4942,7,Surface,0.8-5,metagenome,Prochlorococcus,1393.0,0.004138208007598
4943,8,Surface,0.8-5,metagenome,Prochlorococcus,725.0,0.00579181926289
4944,9,Surface,0.8-5,metagenome,Prochlorococcus,558.0,0.004898787412607
4945,10,Surface,0.8-5,metagenome,Prochlorococcus,104.0,0.001451982526286
4946,16,Surface,0.8-5,metagenome,Prochlorococcus,154.0,0.002446268036352
4947,18,Surface,0.8-5,metagenome,Prochlorococcus,435.0,0.004467714416588
4948,19,Surface,0.8-5,metagenome,Prochlorococcus,626.0,0.007331711837416
4949,20,Surface,0.8-5,metagenome,Prochlorococcus,326.0,0.003215507250467
4950,21,Surface,0.8-5,metagenome,Prochlorococcus,197.0,0.002432863684802
4951,22,Surface,0.8-5,metagenome,Prochlorococcus,188.0,0.002182226805558
4952,23,Surface,0.8-5,metagenome,Prochlorococcus,350.0,0.0027450554701
4953,25,Surface,0.8-5,metagenome,Prochlorococcus,331.0,0.003981478986901
4954,30,Surface,0.8-5,metagenome,Prochlorococcus,265.0,0.002367203506341
5760,6,Surface,0.8-5,metagenome,Synechococcus,1267.0,0.009518528590918
5761,7,Surface,0.8-5,metagenome,Synechococcus,2336.0,0.006266121268888
5762,8,Surface,0.8-5,metagenome,Synechococcus,3067.0,0.018826700195463
5763,9,Surface,0.8-5,metagenome,Synechococcus,1508.0,0.009346974287334
5764,10,Surface,0.8-5,metagenome,Synechococcus,4293.0,0.02264399141992
5765,16,Surface,0.8-5,metagenome,Synechococcus,1316.0,0.009395878641951
5766,18,Surface,0.8-5,metagenome,Synechococcus,1041.0,0.007807192228976
5767,19,Surface,0.8-5,metagenome,Synechococcus,859.0,0.005876893584617
5768,20,Surface,0.8-5,metagenome,Synechococcus,1328.0,0.008724004347418
5769,21,Surface,0.8-5,metagenome,Synechococcus,2773.0,0.014063110053303
5770,22,Surface,0.8-5,metagenome,Synechococcus,5734.0,0.026754085125292
5771,23,Surface,0.8-5,metagenome,Synechococcus,7725.0,0.02733414318185
5772,25,Surface,0.8-5,metagenome,Synechococcus,2988.0,0.016953727482193
5773,30,Surface,0.8-5,metagenome,Synechococcus,3583.0,0.016845036784921
