,Station,Layer,Size fraction (µm),sample,lineage,reads_mapped,rpkm
248,6,Surface,0.8-5,metagenome,Diatoms,334.0,0.005458245251235
249,7,Surface,0.8-5,metagenome,Diatoms,67.0,0.00037156368885
250,8,Surface,0.8-5,metagenome,Diatoms,35.0,0.000600551871471
251,9,Surface,0.8-5,metagenome,Diatoms,1.0,3.13778146904103e-05
252,10,Surface,0.8-5,metagenome,Diatoms,1.0,2.90586570974643e-05
253,16,Surface,0.8-5,metagenome,Diatoms,8.0,0.000226570608962
254,18,Surface,0.8-5,metagenome,Diatoms,4.0,0.000128554104333
255,19,Surface,0.8-5,metagenome,Diatoms,11.0,0.000170677813741
256,20,Surface,0.8-5,metagenome,Diatoms,1.0,3.65593845266748e-05
257,21,Surface,0.8-5,metagenome,Diatoms,4.0,8.31103128845247e-05
258,22,Surface,0.8-5,metagenome,Diatoms,4.0,9.13724317346022e-05
259,23,Surface,0.8-5,metagenome,Diatoms,2.0,1.98971715297543e-05
1079,6,Surface,0.8-5,metagenome,Chlorophyta,2112.0,0.013630427399355
1080,7,Surface,0.8-5,metagenome,Chlorophyta,67.0,0.000462433850476
1081,8,Surface,0.8-5,metagenome,Chlorophyta,64.0,0.000930107580538
1082,9,Surface,0.8-5,metagenome,Chlorophyta,30.0,0.000707549781536
1083,10,Surface,0.8-5,metagenome,Chlorophyta,55.0,0.000947248458119
1084,16,Surface,0.8-5,metagenome,Chlorophyta,45.0,0.000933705788
1085,18,Surface,0.8-5,metagenome,Chlorophyta,29.0,0.000857339471197
1086,19,Surface,0.8-5,metagenome,Chlorophyta,47.0,0.000739333205104
1087,20,Surface,0.8-5,metagenome,Chlorophyta,42.0,0.000873652061952
1088,21,Surface,0.8-5,metagenome,Chlorophyta,47.0,0.000543135090921
1089,22,Surface,0.8-5,metagenome,Chlorophyta,95.0,0.00125088786735
1090,23,Surface,0.8-5,metagenome,Chlorophyta,93.0,0.00078391892884
1091,25,Surface,0.8-5,metagenome,Chlorophyta,11.0,0.00031033074031
1092,30,Surface,0.8-5,metagenome,Chlorophyta,42.0,0.000546343823873
1882,6,Surface,0.8-5,metagenome,Dinoflagellates,38.0,0.000800199184014
1883,7,Surface,0.8-5,metagenome,Dinoflagellates,42.0,0.000424657744234
1884,8,Surface,0.8-5,metagenome,Dinoflagellates,15.0,0.000414229375641
1885,9,Surface,0.8-5,metagenome,Dinoflagellates,17.0,0.000480351631153
1886,10,Surface,0.8-5,metagenome,Dinoflagellates,17.0,0.00040279864979
1887,16,Surface,0.8-5,metagenome,Dinoflagellates,27.0,0.000844557059249
1888,18,Surface,0.8-5,metagenome,Dinoflagellates,16.0,0.000501885560231
1889,19,Surface,0.8-5,metagenome,Dinoflagellates,45.0,0.001178353179366
1890,20,Surface,0.8-5,metagenome,Dinoflagellates,29.0,0.000879919307391
1891,21,Surface,0.8-5,metagenome,Dinoflagellates,20.0,0.000484160669368
1892,22,Surface,0.8-5,metagenome,Dinoflagellates,13.0,0.000298854876606
1893,23,Surface,0.8-5,metagenome,Dinoflagellates,14.0,0.000288772040888
1894,25,Surface,0.8-5,metagenome,Dinoflagellates,24.0,0.000609506331626
1895,30,Surface,0.8-5,metagenome,Dinoflagellates,20.0,0.000464212462745
2733,6,Surface,0.8-5,metagenome,Other eukaryotic phytoplankton,203.0,0.003614977458018
2734,7,Surface,0.8-5,metagenome,Other eukaryotic phytoplankton,539.0,0.002571272917179
2735,8,Surface,0.8-5,metagenome,Other eukaryotic phytoplankton,152.0,0.003152120698861
2736,9,Surface,0.8-5,metagenome,Other eukaryotic phytoplankton,222.0,0.003762685452887
2737,10,Surface,0.8-5,metagenome,Other eukaryotic phytoplankton,220.0,0.003635775371256
2738,16,Surface,0.8-5,metagenome,Other eukaryotic phytoplankton,239.0,0.004498229397521
2739,18,Surface,0.8-5,metagenome,Other eukaryotic phytoplankton,204.0,0.00386842743199
2740,19,Surface,0.8-5,metagenome,Other eukaryotic phytoplankton,261.0,0.003629928881024
2741,20,Surface,0.8-5,metagenome,Other eukaryotic phytoplankton,250.0,0.004096854164286
2742,21,Surface,0.8-5,metagenome,Other eukaryotic phytoplankton,226.0,0.00344993301973
2743,22,Surface,0.8-5,metagenome,Other eukaryotic phytoplankton,197.0,0.003100540381007
2744,23,Surface,0.8-5,metagenome,Other eukaryotic phytoplankton,407.0,0.003427384816919
2745,25,Surface,0.8-5,metagenome,Other eukaryotic phytoplankton,265.0,0.004408130303448
2746,30,Surface,0.8-5,metagenome,Other eukaryotic phytoplankton,276.0,0.00346946789757
3394,6,Surface,0.8-5,metagenome,Haptophytes,541.0,0.010412222742307
3395,7,Surface,0.8-5,metagenome,Haptophytes,546.0,0.003981012549643
3396,8,Surface,0.8-5,metagenome,Haptophytes,276.0,0.006340418271551
3397,9,Surface,0.8-5,metagenome,Haptophytes,271.0,0.006096843356919
3398,10,Surface,0.8-5,metagenome,Haptophytes,329.0,0.006888024081462
3399,16,Surface,0.8-5,metagenome,Haptophytes,295.0,0.007115536983488
3400,18,Surface,0.8-5,metagenome,Haptophytes,250.0,0.006419748873752
3401,19,Surface,0.8-5,metagenome,Haptophytes,279.0,0.005361014551667
3402,20,Surface,0.8-5,metagenome,Haptophytes,266.0,0.006163418444829
3403,21,Surface,0.8-5,metagenome,Haptophytes,391.0,0.006805092985648
3404,22,Surface,0.8-5,metagenome,Haptophytes,284.0,0.005362932647313
3405,23,Surface,0.8-5,metagenome,Haptophytes,765.0,0.009281406625666
3406,25,Surface,0.8-5,metagenome,Haptophytes,300.0,0.006881633744159
3407,30,Surface,0.8-5,metagenome,Haptophytes,327.0,0.006554884644853
4288,6,Surface,0.8-5,metagenome,Pelagophytes,250.5,0.003939758792358
