Station	Layer	Longitude	Latitude	Synechococcus abundance (cell/mL)	Prochlorococcus abundance (cell/mL)	Picoeukaryote abundance (cell/mL)	Synechococcus average diameter (µm)	Prochlorococcus average diameter (µm)	Picoeukaryotes average diameter (µm)	Synechococcus average cell biovolume (µm3)	Prochlorococcus average cell biovolume (µm3)	Picoeukaryotes average cell biovolume (µm3)	Synechococcus total biovolume (µm3)	Prochlorococcus total biovolume (µm3)	Picoeukatyors total biovolume (µm3)
80	Surface	-52.2	-40.7	23645	64440	6618	0.889	0.447	1.465	0.368	0.047	1.646	8703.53	3015.34	10893.86
81	Deep chlorophyll maximum	-52.5	-44.5	245220	6053	16347	0.855	0.638	1.17	0.328	0.136	0.838	80360.7	823.12	13693.12
81	Surface	-52.5	-44.5	205770	1895	21773	1.235	0.567	1.095	0.987	0.096	0.688	203004.74	181.1	14978.95
82	Deep chlorophyll maximum	-58.3	-47.2	112	3518	5021			1.509			1.799	0	0	9032.67
82	Surface	-58.3	-47.2	81	4533	3878							0	0	0
84	Surface	-60.5	-60.2	0	0	1506			1.884			3.504	0	0	5275.41
85	Deep chlorophyll maximum	-49.3	-62	0	0	787			1.789			2.999	0	0	2360.5
85	Surface	-49.3	-62	0	0	4515							0	0	0
86	Deep chlorophyll maximum	-52.9	-64.3	0	0	2209			1.86			3.369	0	0	7439.82
86	Surface	-52.9	-64.3	0	0	2063			1.973			4.023	0	0	8300.86
87	Surface	-56.2	-63.8	0	0	780			2.012			4.264	0	0	3324.22
88	Surface	-56.8	-63.4	0	0	1742			1.606			2.168	0	0	3777.67
89	Surface	-67.1	-57.7	0	0	7726			1.554			1.965	0	0	15181.87
91	Surface	-73.1	-34.2	466488	39152	7123	0.866	0.522	1.214	0.341	0.075	0.936	158845.85	2918.18	6669.22
92	Surface	-72	-33.6	34245	0	18196	1.368		1.237	1.341		0.991	45934.55	0	18027.99
93	Deep chlorophyll maximum	-72.2	-33.5	83118	5671	3890	0.983	0.73	1.579	0.498	0.203	2.062	41374.93	1153.3	8019.99
93	Surface	-72.2	-33.5	197753	25426	8666	0.825	0.545	1.495	0.294	0.085	1.75	58224.48	2155.5	15165.98
96	Deep chlorophyll maximum	-98.9	-30.3	0	108330	932		0.675	1.368		0.161	1.34	0	17408.58	1249.7
96	Surface	-98.9	-30.3	0	0	948			1.591			2.108	0	0	1997.58
97	Deep chlorophyll maximum	-107.5	-28.1	0	97524	596		0.66	1.438		0.15	1.555	0	14674.58	927.17
97	Surface	-107.5	-28.1	0	0	749			1.601			2.15	0	0	1610.08
98	Deep chlorophyll maximum	-111.2	-26	0	85755	490		0.751	1.428		0.222	1.526	0	19019.77	748.1
98	Surface	-111.2	-26	305	0	524			1.614			2.203	0	0	1154.47
