run_accession	sample_title
ERR1726636	TARA_20101129T1430Z_080_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000001499
ERR1726641	TARA_20111024T0034Z_135_EVENT_NET_N1+N2_D_(30 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000002195
ERR1726644	TARA_20100405T0957Z_043_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000000295
ERR1726647	TARA_20110911T1824Z_129_EVENT_NET_N1+N2_D_(80 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000002320
ERR1726648	TARA_20101129T1809Z_080_EVENT_NET_N1+N2_D_(85 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000001477
ERR1726649	TARA_20100707T0517Z_064_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000000539
ERR1726653	TARA_20120324T1150Z_153_EVENT_NET_N1+N2_X_(25 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000002813
ERR1726655	TARA_20110416T0004Z_100_EVENT_NET_N1+N2_D_(50 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000001618
ERR1726656	TARA_20110415T1245Z_100_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000001604
ERR1726657	TARA_20110804T2127Z_124_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000002043
ERR1726661	TARA_20111215T1745Z_139_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000003041
ERR1726663	TARA_20100715T1516Z_066_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000000793
ERR1726664	TARA_20110630T0631Z_116_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000001911
ERR1726665	TARA_20100511T1040Z_051_EVENT_PUMP_P_D_(80 m)_PROT_NUC-RNA(100L)_W5-20_TARA_N000000204
ERR1726668	TARA_20110521T2100Z_110_EVENT_PUMP_P_D_(50 m)_PROT_NUC-DNA(1L)_W5-20_TARA_N000001756
ERR1726672	TARA_20091123T1620Z_025_EVENT_NET_N1+N2_D_(50 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_E500000200
ERR1726673	TARA_20091124T0744Z_026_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_S400007202
ERR1726675	TARA_20091121T1135Z_024_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_A100000360
ERR1726676	TARA_20120109T1341Z_142_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(100L)_W0.8->_TARA_N000003081
ERR1726677	TARA_20100629T0717Z_058_EVENT_NET_N1_S_(5 m)_PROT_NUC-RNA(1L)_W5-20_TARA_N000000442
ERR1726680	TARA_20111024T0034Z_135_EVENT_NET_N1+N2_D_(30 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000002195
ERR1726686	TARA_20100318T1041Z_039_EVENT_NET_N1+N2_D_(25 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000000014
ERR1726689	TARA_20100715T1255Z_066_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000000790
ERR1726690	TARA_20110601T2220Z_111_EVENT_NET_N1+N2_D_(90 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000001824
ERR1726692	TARA_20111202T1636Z_137_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000002929
ERR1726694	TARA_20110614T1850Z_112_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000001882
ERR1726699	TARA_20101016T0955Z_076_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(100L)_W0.8-5_TARA_N000000855
ERR1726711	TARA_20100113T1010Z_033_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_A100001246
ERR1726714	TARA_20110808T1733Z_125_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000002017
ERR1726721	TARA_20110731T2307Z_123_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000001996
ERR1726726	TARA_20100511T0555Z_051_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000000196
ERR1726728	TARA_20100629T0603Z_058_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000000425
ERR1726729	TARA_20100415T0215Z_046_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000000269
ERR1726732	TARA_20110521T1227Z_110_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(1L)_W5-20_TARA_N000001754
ERR1726734	TARA_20100413T1115Z_045_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000000261
ERR1726743	TARA_20091116T1703Z_022_EVENT_NET_N1+N2_D_(60 m)_PROT_NUC-RNA(1L)_N20-180_TARA_A100000695
